kort	wixProductId	revision	variantId	nySku	pris	mediaId
68f7d530	68f7d530-e863-4aae-a989-66dfbe0b6198	5	b763b7c5-7d19-4361-899b-48d004eb51f3	FP-kattorn-192-ljusgra	1549	b379ce_cd169c9bb2dd43028783ff02e1992df7~mv2.jpg
a65a39f1	a65a39f1-fbc7-4d88-a0a2-59e278483a07	3	13395551-c4bf-40b1-af06-6eb66ac8204f	FP-kattorn-206-morkgra	1369	b379ce_ee05e8dcc9e643c09eff6fbca8d4e3e3~mv2.jpg
39ec9d58	39ec9d58-d721-4ef9-b9ca-ed1746cffa11	3	ef116223-04af-4c7d-bcb7-7c9d8e40a194	FP-klostrad-240-260-morkgra	1279	b379ce_d9cc54b68d4c410cbbcf38ac192cabaf~mv2.jpg
0801a975	0801a975-8132-467b-a747-c038022c6d54	4	70d178e9-7c87-4d6d-b992-7eadc69f6c8d	FP-kattorn-148-beige	1079	b379ce_d5279cdfd62c4ab3a9a1652c9d73d7e7~mv2.jpg
55dc854b	55dc854b-4e48-427d-8fd0-f2015b2fffa1	3	409aa57c-d2b7-45e7-8424-f75c23aafe8b	FP-klostrad-220-265-morkgra	999	b379ce_3646e8b2c3b049fa8944c13355295157~mv2.jpg
d82beee4	d82beee4-fd6b-4f05-bbd2-d4e22bccefa1	4	79aba34d-4636-4edd-bc28-223423a583f5	FP-kattorn-160-beige	949	b379ce_10e17788f82848a2815da238403516d0~mv2.jpg
70f4481a	70f4481a-db64-4967-abe3-970797548643	5	67c9ff95-ea39-4d43-8c7a-c7a2cec4e01a	FP-kattorn-140-beige	899	b379ce_5846d4c5ddb04ffba80c10e8afbd5fd6~mv2.jpg
ab6c0b93	ab6c0b93-f19e-46be-bbd3-ef930f145b92	6	f0b665a1-9b7b-48ab-8d1b-afc65a6cd446	FP-klostrad-202-242-gron	879	b379ce_457a34dc2e8a4c99a6876ffbee27c985~mv2.jpg
