3b868848	Faktakort: mått utfällt 63 × 50 × 75 cm, mått infällt 63 × 21 × 75 cm, klaff 63 × 29 cm, knäutrymme 57 × 73 cm, hylla 57 × 17 × 28 cm
92fc308c	Faktakort: mått 30,5 × 30,5 × 85 cm, volym 50 liter, sensoravstånd 15 cm, öppningstid 0,5 sekunder, locket står öppet 5 sekunder
d7b7f77f	Faktakort: mått 65 × 32 × 55 cm, sits 20 × 20 cm, sitthöjd 33 cm, bas 65 × 33 cm, rekommenderad ålder 18–36 månader
281ed0b1	Faktakort: mått 37 × 37 × 76 cm, låda invändigt 33 × 31,5 × 15 cm, antal lådor 4, fothöjd 2,5 cm, bärförmåga 10 kg per plan
3a334cef	Faktakort: höjd 115 cm, nedersta klotet 20 cm i diameter, mittenklotet 25 cm i diameter, översta klotet 29 cm i diameter, kruka 19,5 cm i diameter, 17 cm hög
3ddfd60c	Faktakort: mått 57 × 58 × 73–83 cm, sits 46 × 46 cm, sitthöjd 44–54 cm, ryggstöd 46 × 30 cm, tjocklek sits 10 cm
132a00c5	Faktakort: mått 60 × 25 × 70 cm, varje plan 60 × 22 cm, nedre hyllans höjd över golv 10 cm, bärförmåga 20 kg per plan, dräneringshål 2
3c8fe7db	Faktakort: mått 52 × 59 × 75,5–84,5 cm, sits 49 × 46 cm, sitthöjd 48–57 cm, ryggstöd 34 × 33 cm, bärförmåga 120 kg
43b12b37	Faktakort: mått 65 × 32 × 49 cm, sits 20 × 20 cm, sitthöjd 33 cm, bas 65 × 33 cm, rekommenderad ålder 18–36 månader
