25405611	vit	GUNGSTOL I GUL MANCHESTER	Bokmedar och rak rygg i manchester	mätt på produkten · gul	Mått=98 × 71 × 101&nbsp;<span class=u>cm</span>|Sittyta=54 × 49&nbsp;<span class=u>cm</span>|Sitthöjd=47&nbsp;<span class=u>cm</span>|Ryggstöd=73 × 66 cm, 8 cm tjockt|Dyntjocklek=9&nbsp;<span class=u>cm</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=14&nbsp;<span class=u>kg</span>|Material=Manchester (100 % polyester), bok, stål och skum
3b5a67d9	vit	GUNGSTOL I LJUSGRÅ MANCHESTER	Bokmedar och rak rygg i manchester	mätt på produkten · ljusgrå	Mått=98 × 71 × 101&nbsp;<span class=u>cm</span>|Sittyta=54 × 49&nbsp;<span class=u>cm</span>|Sitthöjd=47&nbsp;<span class=u>cm</span>|Ryggstöd=73 × 66 cm, 8 cm tjockt|Dyntjocklek=9&nbsp;<span class=u>cm</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=14&nbsp;<span class=u>kg</span>|Material=Manchester (100 % polyester), bok, stål och skum
3dbd4f08	vit	GUNGSTOL I BEIGE MANCHESTER	Bokmedar och rak rygg i manchester	mätt på produkten · beige	Mått=98 × 71 × 101&nbsp;<span class=u>cm</span>|Sittyta=54 × 49&nbsp;<span class=u>cm</span>|Sitthöjd=47&nbsp;<span class=u>cm</span>|Ryggstöd=73 × 66 cm, 8 cm tjockt|Dyntjocklek=9&nbsp;<span class=u>cm</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=14&nbsp;<span class=u>kg</span>|Material=Manchester (100 % polyester), bok, stål och skum
48432e48	vit	GUNGSTOL I MÖRKGRÅ SAMMETSLOOK	Rutstickad rygg — samma stomme som manchesterstolarna	mätt på produkten · mörkgrå	Mått=98 × 71 × 101&nbsp;<span class=u>cm</span>|Sittyta=54 × 49&nbsp;<span class=u>cm</span>|Sitthöjd=47&nbsp;<span class=u>cm</span>|Ryggstöd=73 × 66 cm, 8 cm tjockt|Dyntjocklek=9&nbsp;<span class=u>cm</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=14&nbsp;<span class=u>kg</span>|Material=Sammetslook (100 % polyester), bok, stål och skum
bde44d3c	vit	GUNGSTOL I GRÅTT TEDDYTYG	Sidoficka och stativ helt i metall	mätt på produkten · grå	Mått=91 × 71 × 97&nbsp;<span class=u>cm</span>|Sittyta=41 × 49&nbsp;<span class=u>cm</span>|Sitthöjd=42–49&nbsp;<span class=u>cm</span>|Ryggstöd=67 × 68&nbsp;<span class=u>cm</span>|Gungvinkel=90–115&nbsp;<span class=u>grader</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=13,3&nbsp;<span class=u>kg</span>|Material=Teddytyg, skum och metall
4f98b924	vit	GUNGSTOL I GRÄDDVITT TEDDYTYG	Knappad rygg och medar i gummiträ	mätt på produkten · gräddvit	Mått=92 × 69 × 100&nbsp;<span class=u>cm</span>|Sittyta=48 × 53&nbsp;<span class=u>cm</span>|Sitthöjd=42–50&nbsp;<span class=u>cm</span>|Ryggstöd=66 × 64&nbsp;<span class=u>cm</span>|Gungvinkel=90–115&nbsp;<span class=u>grader</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=13&nbsp;<span class=u>kg</span>|Material=Teddytyg, skum, stål och gummiträ
dd4e1e06	vit	GUNGSTOL I LJUSGRÅTT TEDDYTYG	Rutstickad rygg och medar i gummiträ	mätt på produkten · ljusgrå	Mått=94 × 70 × 100&nbsp;<span class=u>cm</span>|Sittyta=50 × 46&nbsp;<span class=u>cm</span>|Sitthöjd=45–50&nbsp;<span class=u>cm</span>|Ryggstöd=65 × 69 cm, 10 cm tjockt|Gungvinkel=90–115&nbsp;<span class=u>grader</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=13,8&nbsp;<span class=u>kg</span>|Material=Teddytyg, skum, stål och gummiträ
b4441140	vit	GUNGSTOL I GRÄDDVITT TEDDYTYG	Rutstickad rygg och medar i gummiträ	mätt på produkten · gräddvit	Mått=94 × 70 × 100&nbsp;<span class=u>cm</span>|Sittyta=50 × 46&nbsp;<span class=u>cm</span>|Sitthöjd=45–50&nbsp;<span class=u>cm</span>|Ryggstöd=65 × 69 cm, 10 cm tjockt|Gungvinkel=90–115&nbsp;<span class=u>grader</span>|Maxlast=120&nbsp;<span class=u>kg</span>|Vikt=13,8&nbsp;<span class=u>kg</span>|Material=Teddytyg, skum, stål och gummiträ
